C Mil A,UF,Município,OM,Curso,Entidade,Local,Início,Fim,Carga Horária,Efetivo Inicial,Efetivo Final,Valor hora aula,Valor total
CMS ,SC ,Florianópolis ,Cia Cmdo 14ª Bda Inf Mtz ,Assentador de Revestimento Cerâmico ,SENAI/SC São José ,Própria OM,1/9/2022,2/10/2022,40,21,21,"14,35",12054
CMNE ,SE ,Aracaju ,28º BC ,Condutor de veículos de emergência ,SEST SENAT ,Entidade Parceira,7/11/2022,12/12/2022,50,10,10,3,1500
CMNE ,SE ,Aracaju ,28º BC ,ELETRICISTA INST ALADOR PREDIAL DE BAIXA TEN ,SENAI ,Entidade Parceira,4/7/2022,30/12/2022,80,20,20,"7,37",11792
CMNE ,SE ,Aracaju ,28º BC ,CONFEITARIA PARA INICIANTES ,SENAI ,Própria OM,6/6/2022,30/12/2022,70,20,20,"4,79",6706
CMSE ,SP ,Taubaté ,Ba Av T ,Movimentação de Produtos Perigosos ,SENAT/TAUBATÉ ,Entidade Parceira,10/9/2022,1/10/2022,50,3,3,7,1050
CMSE ,SP ,Taubaté ,Ba Av T ,Transporte coletivo de passageiros ,SENAT/TAUBATÉ ,Entidade Parceira,10/9/2022,1/10/2022,50,3,3,7,1050
CMSE ,SP ,Taubaté ,Ba Av T ,CONDUTOR DE VEÍCULO DE EMERGÊNCIA ,SENAT/TAUBATÉ ,Entidade Parceira,10/9/2022,1/10/2022,50,3,3,7,1050
CMSE ,SP ,São Paulo ,Cmdo CMSE ,rotinas administrativa ,SENAI ,Entidade Parceira,4/4/2022,7/4/2022,100,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,auxiliar para comunicação em libras ,SENAI ,Entidade Parceira,12/3/2022,7/7/2022,60,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Auto cad 2d ,SENAI-São Paulo ,Entidade Parceira,25/7/2022,12/7/2022,48,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Segurança em Instalações e Serviços com Eletr ,SENAI-São Paulo ,Entidade Parceira,21/3/2022,25/2/2022,40,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Manutenção de Cadeiras Odontológicas ,SENAI-São Paulo ,Entidade Parceira,2/5/2022,11/5/2022,56,2,2,0,0
